0,1,2,3,4,5
,,Cuadro 3. ETA´s: Total de brotes reportados en año 2018,,,
No.,SE,Área de Salud,ETA reportada,Fuente de Contagio,No. De casos
,,Guate Noroccidente/,,,
1,4,,Intoxicación Alimentaria,Pan con Pollo,135
,,Guate Central,,,
2,4,Peten Norte,Intoxicación Alimentaria,envuelto de coliflor,20
3,6,Quetzaltenango,Rotavirus,,17
4,6,Jalapa,Intoxicación Alimentaria,envuelto de Ejote,4
5,7,Quetzaltenango,Intoxicación Alimentaria,carne azada,28
6,15,Alta Verapaz,Intoxicación Alimentaria,caldo de pollo,23
7,15,Huehuetenango,Enfermedad Diarreica,agua contaminada,39
8,18,Chiquimula,Intoxicación Alimentaria,Hot Dog,5
9,20,Huehuetenango,Rotavirus,-,42
10,22,Totonicapán,Fiebre Tifoidea,-,10
11,24,Suchitepéquez,Intoxicación Alimentaria,Caldo de pollo,34
,,,,Hongo Amanita,
12,25,Sololá,Intoxicación Alimentaria,,5
,,,,Muscaria,
13,25,Huehuetenango,Intoxicación Alimentaria,frijoles,10
,,,,"carne asada, ensalada",
14,29,Suchitepéquez,Intoxicación Alimentaria,,32
,,,,de coditos,
15,33,Chiquimula,Intoxicación Alimentaria,panes con pollo,120
16,34,Escuintla,Hepatitis A,-,10
,,,,"tortilla con pollo, repollo",
17,34,Guatemala Sur,Intoxicación Alimentaria,,171
,,,,y crema,
18,41,Guatemala Sur,Intoxicación Alimentaria,ceviche,16
19,49,Escuintla,Fiebre Tifoidea,-,7
20,50,Chimaltenango,Intoxicación Alimentaria,Estofado de Pollo,19
21,50,Escuintla,Hepatitis A,-,3
22,52,Alta Verapaz,Intoxicación Alimentaria,"Frijoles, café",8
,Fuente: Alertas Epidemiológicas de DAS,,,,
